Date, Open, High, Low, Close, Volume
04/27/20, 16400, 16450, 16300, 16400, 885
04/24/20, 16500, 16500, 16450, 16450, 46
04/23/20, 16500, 16500, 16500, 16500, 1
04/22/20, 16350, 16350, 16350, 16350, 18
04/21/20, 16400, 16400, 16400, 16400, 85
04/20/20, 16500, 16500, 16450, 16450, 33
04/17/20, 16450, 16600, 16300, 16600, 110
04/16/20, 16500, 16500, 16400, 16400, 61
04/15/20, 16550, 16600, 16300, 16500, 446
04/14/20, 16500, 16500, 16500, 16500, 6
04/09/20, 16450, 16450, 16400, 16400, 70
04/08/20, 16500, 16550, 16400, 16400, 266
04/07/20, 16450, 16600, 16450, 16450, 220
04/06/20, 16400, 16450, 16250, 16450, 292
04/03/20, 16250, 16450, 16250, 16400, 176
04/02/20, 16450, 16450, 16350, 16400, 56
04/01/20, 16450, 16450, 16350, 16350, 34
03/31/20, 16450, 16450, 16350, 16450, 245
03/30/20, 16450, 16450, 16400, 16400, 79
03/27/20, 16400, 16450, 16400, 16400, 119
03/26/20, 16450, 16450, 16400, 16400, 131
03/25/20, 16400, 16450, 16400, 16450, 258
03/24/20, 16450, 16450, 16000, 16450, 806
03/23/20, 15700, 16400, 15500, 16400, 407
03/20/20, 15900, 16050, 15750, 16050, 133
03/19/20, 15700, 16000, 15600, 15700, 310
03/18/20, 15800, 15900, 15700, 15700, 245
03/17/20, 15900, 15900, 15500, 15750, 184
03/16/20, 16000, 16000, 14800, 15950, 765
03/13/20, 15900, 16000, 15650, 16000, 781
03/12/20, 16700, 16700, 15550, 16000, 1218
03/11/20, 17000, 17150, 16700, 16900, 1350
03/10/20, 17100, 17250, 17000, 17050, 866
03/09/20, 17400, 17400, 16800, 17150, 1373
03/06/20, 17400, 17500, 17400, 17400, 569
03/05/20, 17500, 17650, 17400, 17400, 240
03/04/20, 17600, 17600, 17550, 17550, 178
03/03/20, 17600, 17600, 17350, 17550, 489
03/02/20, 17500, 17500, 17350, 17350, 518
02/28/20, 17450, 17450, 17000, 17300, 1140
02/27/20, 17450, 17500, 17350, 17500, 644
02/26/20, 17400, 17650, 17300, 17450, 569
02/25/20, 17500, 17600, 17450, 17450, 586
02/24/20, 17700, 17700, 17500, 17500, 283
02/21/20, 17600, 17650, 17600, 17650, 282
02/20/20, 17500, 17500, 17500, 17500, 35
02/19/20, 17500, 17500, 17500, 17500, 169
02/18/20, 17500, 17600, 17500, 17500, 44
02/17/20, 17500, 17500, 17500, 17500, 1
02/14/20, 17450, 17450, 17450, 17450, 9
02/13/20, 17550, 17600, 17500, 17550, 420
02/12/20, 17600, 17600, 17550, 17600, 60
02/11/20, 17600, 17650, 17500, 17500, 246
02/10/20, 17650, 17650, 17600, 17650, 65
02/07/20, 17650, 17650, 17650, 17650, 32
02/06/20, 17550, 17650, 17500, 17500, 69
02/05/20, 17650, 17650, 17400, 17450, 1174
02/04/20, 17500, 17650, 17500, 17600, 43
02/03/20, 17650, 17700, 17500, 17700, 225
01/31/20, 17650, 17650, 17650, 17650, 35
01/30/20, 17550, 17650, 17550, 17650, 121
01/29/20, 17550, 17650, 17550, 17600, 580
01/28/20, 17500, 17550, 17500, 17500, 162
01/27/20, 17550, 17550, 17500, 17500, 422
01/24/20, 17550, 17550, 17550, 17550, 20
01/23/20, 17650, 17650, 17600, 17600, 26
01/22/20, 17650, 17650, 17650, 17650, 1
01/20/20, 17550, 17650, 17550, 17650, 16
01/17/20, 17550, 17650, 17550, 17550, 242
01/16/20, 17500, 17600, 17500, 17600, 22
01/15/20, 17550, 17600, 17500, 17500, 167
01/14/20, 17500, 17600, 17500, 17500, 70
